RELATIONSHIPS,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
BT-CHLA,0.1,0.4,0.1,0,0,0.1,0.2,0.2,0.4,0,0.3,0.5,0.1,0.6,0.5,0.3,0.5,0.6,0,0.3
Chla-PEA,0.6,0.1,0.3,0.1,0.6,0.2,0.1,0.1,0.1,0,0.4,0.1,0.1,0.1,0.4,0.6,0.6,0.2,0.2,0
BT-Larvae,0.5,1,0.6,0.9,0.3,0,0,0.2,0.7,0.6,0.2,0,0.3,0,0.1,0.1,0.1,0,0.2,0
Catch_pel-LARVAE,0.4,0,0,0.2,0.4,0.5,0.3,0,0.5,0.2,0.2,0.1,0.1,0.9,1,0.3,0.3,0.3,0.4,0.5
A2-SPEED,0.6,0.3,0.3,0,0.1,0.2,0.1,0,0.2,0.1,0.3,0.1,0.8,0.6,0.4,0.4,0.3,0.5,0.4,0.4
A2-Chla,0.1,0.4,0.2,0.8,0.5,0.4,0.6,0.3,0.9,0.4,0.1,0.5,0.1,0.6,0.3,0.3,0.2,0.6,0.2,0.5
A2-NetPP,0.2,0.5,0.1,0,0.1,0.2,0,0.4,0,0,0.2,0.2,0.2,0.3,0.4,0.3,0.4,0.5,0.6,0.3
A4-PEA,0.2,0.5,0.6,0,0.3,0.2,0.1,0,0.6,0,0.4,0,0.3,0.5,0,0.3,0.6,0.4,0.7,0.6
A4-Chla,0.1,0.2,0.2,0.1,0,0.3,0.1,0.2,0.2,0.3,0.3,0.3,0.3,0.8,0.5,0.7,0.4,0.5,0.6,0.4
A4-LARVAE,0.1,0.1,0.4,0.4,0.1,0.2,0.3,0.7,0.6,0.4,0.3,0.4,0.4,0.1,0,0.4,0.5,0.4,0.3,0.1
A5-SPEED,0.4,0.5,0.4,0.4,0.1,0.3,0.2,0.1,0.1,0,0.5,0.3,0.3,0.5,0.4,0,0.1,0.2,0.2,0
A5-LARVAE,0.4,0.4,0.4,0.5,0.5,0.5,0.3,0.1,0.7,0.3,0.1,0.5,0.3,0,0.1,0.4,0.2,0.6,0.2,0.3
A6-SST,0.6,0.4,0.2,0.4,0.4,0.1,0.5,0.3,0.2,0,0,0.1,0.1,0.1,0.2,0.1,0.1,0.3,0.5,0.4
A6-W,0.2,0,0.3,0,0.3,0.6,0.2,0.3,0.1,0.1,0.1,0.1,0.3,0.4,0.5,0.3,0.5,0.7,0.7,0.5
A6-NetPP,0.6,0.4,0.5,0.6,0.1,0,0.4,0,0.1,0,0.1,0.5,0.6,0.8,0.3,0.3,0.3,0,0,0
PELAGICS-W,0,0.3,0.1,0.7,0.4,0.4,0.3,0.5,0.2,0.3,0.2,0.4,0.4,0.3,0.2,0.1,0.1,0.5,0.3,0.4
Chla-PELAGICS,0.1,0.1,0.3,0.2,0.3,0.3,0.3,0.4,0.7,0.9,0.8,0.5,0,0,0,0.2,0.2,0.3,0.2,0.2
Larvae-PELAGICS,0.2,0.1,0,0.1,0.2,0.3,0.1,0.6,0,0.4,0.4,0.2,0.9,0.3,0.6,0.6,0.4,0.1,0.2,0
Chla-DEMERSAL,0.2,0.1,0.5,0.8,0.3,0.6,0.6,0.4,0.4,0.3,0.2,0.2,0.3,0.3,0.4,0.3,0.1,0,0.1,0.1
DEMERSAL-NetPP,0.5,0.4,0.4,0.2,0.3,0.2,0.6,0.3,0,0.3,0.2,0.4,0.4,0.4,0.1,0.3,0.3,0,0,0
A6-DEMERSAL,0.7,0.6,0.6,0.5,0.6,0.5,0.4,0.1,0.3,0.2,0.5,0.2,0.5,0.4,0.3,0.2,0.4,0.1,0.1,0.4
KITT-SST,0.2,0.1,0.2,0.5,0.6,0.3,0.6,0.7,0.4,0.2,0.3,0.1,0,0,0,0.2,0,0,0.1,0.6
KITT-LARVAE,0.3,0.7,0.6,0.2,0.2,0.3,0.1,0.2,0,0.1,0.4,0.1,0.4,0.8,0.2,0.9,0.8,0.9,0.4,0
KITT-SPEED,0.3,0.6,0.5,0.8,0.4,0.4,0.3,0.6,0.6,0.4,0.2,0.4,0.7,0.1,0.4,0.1,0,0.1,0.1,0
BT-GUILLEMOT,0.2,0.2,0.1,0.1,0.3,0.5,0.5,0.1,0,0,0,0.3,0.6,0.3,0.2,0.6,0.4,0.2,0.1,0.5
DEMERSAL-GUILLEMOT,0.5,0,0.4,0.4,0.3,0.3,0.1,0.2,0.5,0.7,0.6,0.5,0.7,0.2,0.5,0.2,0.3,0.1,0.5,0.4
GUILL-NetPP,0.3,0.2,0.4,0.8,0.4,0.4,0.2,0.4,0.4,0.4,0.3,0,0,0,0.2,0,0,0,0.6,0
GANN-LARVAE,0,0.4,0,0.4,0.9,0.2,0.1,0.2,0.1,0.2,0.1,0.1,0.4,0,0.6,0.4,0.4,0.9,0.4,0.8
GANN-SPEED,0.6,0.5,0.6,0.8,0.8,0.4,0.2,0.1,0.1,0.2,0,0.6,0.5,0.2,0.2,0.1,0.2,0.3,0,0.2
